,Angle (degrees),Ion Energy (V)
0,-84.73440824382867,31.63230883596941
1,-79.82594652790239,38.47591704903744
2,-74.57881110456026,55.23334444131143
3,-69.66112122221938,69.70403219604731
4,-65.07933659736997,76.54902463407757
5,-59.827587090820536,97.11999179718543
6,-54.577683217554025,116.16554305195976
7,-49.6470739022327,141.3141421650304
8,-44.72384712004306,160.36107764476688
9,-39.47394324677654,179.4066288995412
10,-34.883853272154,193.11599292507245
11,-29.64686883186793,201.48363282151192
12,-24.732870216092905,212.90348875958068
13,-19.49588577580681,221.27112865602007
14,-14.261669785445136,227.3506446899593
15,-9.690958960293244,225.0431416779883
16,10.563020686473052,224.9573197303325
17,15.139268411473694,227.22606444336216
18,20.358719335572037,221.1022532106329
19,25.24964753531057,213.45441029453232
20,30.461715926277225,201.22893542846893
21,35.35172130937427,192.8183845582016
22,40.56194406705804,179.0674937838046
23,45.11143010945632,159.21770782599782
24,50.31519315064985,140.12786137243344
25,55.51157365871167,114.93635128553488
26,60.38865960882829,95.84788905693269
27,65.59149983338035,75.99533464920154
28,70.15667375868345,69.11158391222989
29,75.03929660864888,54.59936940862838
30,79.9191510086899,37.79903104252645
31,85.46527902386508,31.673835584835103
32,90.35805285688654,25.551408577068003
