z (m),mean_ui (m/s),std_ui (m/s) ,mean_Ti (eV),std_Ti (eV)
0.017,-488.4362746,29.2450625,0.54132013,0.022630477
0.019,153.7150502,32.88643625,0.661448936,0.027195322
0.021,1905.967568,43.71225355,1.312920111,0.052616712
0.023,5403.834148,61.69769725,2.733471632,0.115819769
0.025,9464.024175,49.97388495,1.850373696,0.079431411
0.027,11050.80435,46.39142364,1.62566181,0.070054653
0.029,13274.12167,44.83017151,1.504145519,0.066382187
0.031,14749.5275,43.28993749,1.333769581,0.06126515
0.035,16539.59875,39.06387517,0.936911961,0.04202428
0.039,17423.69765,41.41073906,1.089561636,0.054170932
0.043,17966.73154,35.15584372,0.842849003,0.034617829
0.047,18452.30768,42.43242686,1.069815481,0.046495924
0.055,18434.39042,46.92025015,1.588066308,0.084720983
0.075,18843.29941,49.88057454,1.47333054,0.074780253
