Anode voltage (V),Total flow rate (mg/s),Anode-cathode flow ratio,Background pressure (torr),Thrust (mN),Percent uncertainty
300,5.627,12,1.63E-06,80.292,0.009
300,5.591,12,2.47E-06,80.057,0.009
300,5.69,12,4.03E-06,80.46,0.009
300,5.571,12,5.29E-06,80.809,0.009
300,5.643,12,6.96E-06,81.145,0.009
300,5.665,12,9.88E-06,81.443,0.009
300,5.633,12,1.52E-05,81.756,0.009
300,5.476,12,2.50E-05,82.312,0.009
300,5.364,12,3.81E-05,83.114,0.009
300,5.242,12,5.44E-05,82.387,0.009
300,5.161,12,7.02E-05,82.354,0.009
