N,Anode voltage (V),Anode flow rate (mg/s),Background pressure (torr),Axial position from anode (m),Avg axial ion velocity (m/s),Variance (m/s)^2
1,300,5.16,1.70E-05,0.009,-1024.350689,62500
2,300,5.16,1.70E-05,0.013,-1090.871409,62500
3,300,5.16,1.70E-05,0.017,-1066.907048,62500
4,300,5.16,1.70E-05,0.019,-827.9877985,62500
5,300,5.16,1.70E-05,0.021,-105.0729595,62500
6,300,5.16,1.70E-05,0.022,1828.857035,62500
7,300,5.16,1.70E-05,0.023,2643.947138,62500
8,300,5.16,1.70E-05,0.024,5697.079205,62500
9,300,5.16,1.70E-05,0.025,6542.049305,62500
10,300,5.16,1.70E-05,0.026,9565.059921,62500
11,300,5.16,1.70E-05,0.027,9865.791528,62500
12,300,5.16,1.70E-05,0.028,11225.12012,62500
13,300,5.16,1.70E-05,0.029,12282.26838,62500
14,300,5.16,1.70E-05,0.031,13156.27339,62500
15,300,5.16,1.70E-05,0.035,14601.62016,62500
16,300,5.16,1.70E-05,0.039,16107.81347,62500
17,300,5.16,1.70E-05,0.043,17129.89046,62500
18,300,5.16,1.70E-05,0.047,17547.36533,62500
19,300,5.16,1.70E-05,0.051,17753.02422,62500
20,300,5.16,1.70E-05,0.055,17988.92529,62500
21,300,5.16,1.70E-05,0.065,17973.59292,62500
22,300,5.16,1.70E-05,0.075,18019.1071,62500
23,300,5.16,3.50E-05,0.009,-1024,62500
24,300,5.16,3.50E-05,0.013,-900,62500
25,300,5.16,3.50E-05,0.017,900,62500
26,300,5.16,3.50E-05,0.019,2800,62500
27,300,5.16,3.50E-05,0.021,7300,62500
28,300,5.16,3.50E-05,0.022,9000,62500
29,300,5.16,3.50E-05,0.023,10800,62500
30,300,5.16,3.50E-05,0.024,11800,62500
31,300,5.16,3.50E-05,0.025,12689.90741,62500
32,300,5.16,3.50E-05,0.026,13400,62500
33,300,5.16,3.50E-05,0.027,14200,62500
34,300,5.16,3.50E-05,0.028,14850,62500
35,300,5.16,3.50E-05,0.029,15600,62500
36,300,5.16,3.50E-05,0.031,16200,62500
37,300,5.16,3.50E-05,0.035,17269.98564,62500
38,300,5.16,3.50E-05,0.039,17794.42855,62500
39,300,5.16,3.50E-05,0.043,18158.86762,62500
40,300,5.16,3.50E-05,0.047,18242.30365,62500
41,300,5.16,3.50E-05,0.051,18365.67704,62500
42,300,5.16,3.50E-05,0.055,18450,62500
43,300,5.16,3.50E-05,0.065,18657.87272,62500
44,300,5.16,3.50E-05,0.075,18400,62500
45,300,5.16,5.00E-05,0.009,-999.4516738,62500
46,300,5.16,5.00E-05,0.013,-1060,62500
47,300,5.16,5.00E-05,0.017,-100,62500
48,300,5.16,5.00E-05,0.019,1816.090265,62500
49,300,5.16,5.00E-05,0.021,4986.065731,62500
50,300,5.16,5.00E-05,0.022,7473.544674,62500
51,300,5.16,5.00E-05,0.023,10161.304,62500
52,300,5.16,5.00E-05,0.024,10924.43839,62500
53,300,5.16,5.00E-05,0.025,12689.90741,62500
54,300,5.16,5.00E-05,0.026,13251.99828,62500
55,300,5.16,5.00E-05,0.027,14014.96309,62500
56,300,5.16,5.00E-05,0.028,14777.92789,62500
57,300,5.16,5.00E-05,0.029,15340.01877,62500
58,300,5.16,5.00E-05,0.031,16184.0454,62500
59,300,5.16,5.00E-05,0.035,17269.98564,62500
60,300,5.16,5.00E-05,0.039,17794.42855,62500
61,300,5.16,5.00E-05,0.043,18158.86762,62500
62,300,5.16,5.00E-05,0.047,18242.30365,62500
63,300,5.16,5.00E-05,0.051,18365.67704,62500
64,300,5.16,5.00E-05,0.055,18369.06875,62500
65,300,5.16,5.00E-05,0.065,18657.87272,62500
66,300,5.16,5.00E-05,0.075,18745.97235,62500
