,Angle (degrees),Electron Density (m^-3)
0,-3.065125018692079,8554044827923139.0
1,-1.535989942479148,8806018274132295.0
2,-0.0075639810298255,8879364522914748.0
3,1.5210038033722242,8990530938144480.0
4,3.048082446770721,8715186869624966.0
5,4.573175568831154,7971718353729388.0
6,6.099828743371504,7632026253489684.0
7,7.627120121199084,7444455644245534.0
8,9.15228415473588,6823524655770533.0
9,10.678086391559908,6372205387002274.0
10,12.20537776938749,6215597114576303.0
11,13.733094616073224,6138742293154342.0
12,15.260669639806238,6037745402661499.0
13,16.78796101763382,5889357078771700.0
14,18.31532330693775,5756540356687523.0
15,19.842685596241694,5626718915994718.0
16,21.369976974069274,5488432298514054.0
17,22.896417414180533,5221971454135268.0
18,24.421155978859176,4727231353342030.0
19,25.94724186158865,4451333779359296.0
20,27.475029619750742,4405419623094391.0
21,29.00274646643648,4350947344376757.0
22,30.529612375405904,4191538542165249.0
23,32.05541461222994,3914303212142064.0
24,33.58291872448659,3841928537808576.0
25,35.11070648264868,3802300211561397.0
26,36.63721783423631,3625209934563685.0
27,38.16408374320572,3492390498313570.0
28,39.691233298080576,3392460014186237.0
29,41.2165391545701,3122422785420204.0
30,42.74156136515418,2850141189465343.0
31,44.26899456593448,2791647742604723.5
32,45.79671141262021,2757129483976319.5
33,47.3248537281641,2757129483976319.5
34,48.85292513223163,2751418079869808.0
35,50.37993286415377,2661628111194585.0
36,51.90538054359601,2459945561342902.5
37,53.43182098370727,2340516344446350.5
38,54.9598923877748,2335667956026893.0
39,56.488034703318704,2335667956026893.0
40,58.01617701886259,2335667956026893.0
41,59.54417751145377,2326001288747518.5
42,61.06997974827779,2172155695194380.0
43,62.59521469329094,1995112297468852.0
44,64.1230733629294,1978632063715466.5
45,65.65121567847329,1978632063715466.5
46,67.17935799401718,1978632063715466.5
47,68.70750030956107,1978632063715466.5
48,70.23514624477045,1950118544840948.8
49,71.76038118978362,1791172473935424.8
50,73.28696345284759,1711294442856817.2
51,74.81510576839148,1711294442856817.2
52,76.34324808393536,1711294442856817.2
53,77.87139039947925,1711294442856817.2
54,79.40010000683402,1739920263576258.8
55,80.92661135842164,1658884326304982.2
56,82.45163356900574,1514226250537693.5
57,83.97963406159691,1507959297518169.5
58,85.50784728861716,1511089525158718.5
59,87.03598960416105,1511089525158718.5
60,88.56200457541415,1419949576657810.0
61,90.08738134338004,1309635588795201.8
62,91.61545274744756,1306922673742294.5
63,93.14402053184962,1323284870411605.8
64,94.67244649329892,1334306648733412.5
65,96.19902875636292,1274802726298887.0
66,97.725043727616,1197914194620729.2
67,99.2521932824909,1163637344575106.0
68,100.16844046853,1142121925535863.5
