z(m),mean_ui (m/s),std_ui (m/s) ,mean_Ti (eV),std_Ti (eV)
0.017,844.407561,47.41014946,1.004656525,0.055218589
0.019,2807.196646,53.97024963,1.820678382,0.090575184
0.021,6655.177607,66.11452957,3.179387056,0.148558668
0.023,9915.881237,89.98442181,5.945205191,0.384265176
0.025,11904.4446,99.11282511,7.47061133,0.47723537
0.027,13291.43479,130.930531,10.36364302,0.798025557
0.029,15744.31131,55.11541284,1.39734399,0.078108218
0.031,16562.03255,52.08129656,1.305215467,0.07125554
0.035,17688.29165,50.05467854,1.154171061,0.058219021
0.039,18141.72668,52.43967386,1.072143681,0.058842183
0.043,18657.12303,58.23211977,1.103027555,0.059977934
0.047,18636.55674,51.22538249,1.44197208,0.079107206
0.055,19051.08247,51.22235344,1.491540974,0.072070367
0.065,19170.37604,53.41738489,1.582280033,0.088416221
0.075,18772.48769,69.94371464,4.183057561,0.213465723
