z(m),"ui_z(1,1) (m/s)"
0.012985278,8.324174927
0.014979598,-23.23152088
0.016972829,130.7385121
0.01744116,280.464848
0.018495337,543.1388124
0.018906976,358.7556175
0.019608818,694.6605586
0.020719687,1291.444054
0.021651125,2481.420224
0.02206124,2556.773049
0.022582562,3671.396394
0.022988542,4451.746989
0.023503117,6716.629852
0.024076561,8944.570788
0.024593748,10764.1919
0.024590701,11283.66394
0.025055331,12064.17776
0.025576218,13253.01139
0.025981545,14144.67742
0.026505914,14739.82873
0.027031806,15075.24401
0.02802494,15745.91136
0.029077377,16305.42649
0.030131119,16642.31075
0.035166103,18177.65857
0.040148529,18673.89909
0.050114471,19480.8544
0.057621462,19538.85159
