Operating condition,Anode voltage (V),Anode flow rate (mg/s),Cathode flow rate (mg/s),Background pressure (Torr),Anode current (A),Axial position from anode (m),Ion velocity (m/s),Ion velocity absolute uncertainty (m/s)
1,300,5.16,0.396,1.70E-05,4.24,0.009,-1024.350689,500
1,300,5.16,0.396,1.70E-05,4.24,0.013,-1090.871409,500
1,300,5.16,0.396,1.70E-05,4.24,0.017,-1066.907048,500
1,300,5.16,0.396,1.70E-05,4.24,0.019,-827.9877985,500
1,300,5.16,0.396,1.70E-05,4.24,0.021,-105.0729595,500
1,300,5.16,0.396,1.70E-05,4.24,0.022,1828.857035,500
1,300,5.16,0.396,1.70E-05,4.24,0.023,2643.947138,500
1,300,5.16,0.396,1.70E-05,4.24,0.024,5697.079205,500
1,300,5.16,0.396,1.70E-05,4.24,0.025,6542.049305,500
1,300,5.16,0.396,1.70E-05,4.24,0.026,9565.059921,500
1,300,5.16,0.396,1.70E-05,4.24,0.027,9865.791528,500
1,300,5.16,0.396,1.70E-05,4.24,0.028,11225.12012,500
1,300,5.16,0.396,1.70E-05,4.24,0.029,12282.26838,500
1,300,5.16,0.396,1.70E-05,4.24,0.031,13156.27339,500
1,300,5.16,0.396,1.70E-05,4.24,0.035,14601.62016,500
1,300,5.16,0.396,1.70E-05,4.24,0.039,16107.81347,500
1,300,5.16,0.396,1.70E-05,4.24,0.043,17129.89046,500
1,300,5.16,0.396,1.70E-05,4.24,0.047,17547.36533,500
1,300,5.16,0.396,1.70E-05,4.24,0.051,17753.02422,500
1,300,5.16,0.396,1.70E-05,4.24,0.055,17988.92529,500
1,300,5.16,0.396,1.70E-05,4.24,0.065,17973.59292,500
1,300,5.16,0.396,1.70E-05,4.24,0.075,18019.1071,500
2,300,5.16,0.396,3.50E-05,4.24,0.009,-1024,500
2,300,5.16,0.396,3.50E-05,4.24,0.013,-900,500
2,300,5.16,0.396,3.50E-05,4.24,0.017,900,500
2,300,5.16,0.396,3.50E-05,4.24,0.019,2800,500
2,300,5.16,0.396,3.50E-05,4.24,0.021,7300,500
2,300,5.16,0.396,3.50E-05,4.24,0.022,9000,500
2,300,5.16,0.396,3.50E-05,4.24,0.023,10800,500
2,300,5.16,0.396,3.50E-05,4.24,0.024,11800,500
2,300,5.16,0.396,3.50E-05,4.24,0.025,12689.90741,500
2,300,5.16,0.396,3.50E-05,4.24,0.026,13400,500
2,300,5.16,0.396,3.50E-05,4.24,0.027,14200,500
2,300,5.16,0.396,3.50E-05,4.24,0.028,14850,500
2,300,5.16,0.396,3.50E-05,4.24,0.029,15600,500
2,300,5.16,0.396,3.50E-05,4.24,0.031,16200,500
2,300,5.16,0.396,3.50E-05,4.24,0.035,17269.98564,500
2,300,5.16,0.396,3.50E-05,4.24,0.039,17794.42855,500
2,300,5.16,0.396,3.50E-05,4.24,0.043,18158.86762,500
2,300,5.16,0.396,3.50E-05,4.24,0.047,18242.30365,500
2,300,5.16,0.396,3.50E-05,4.24,0.051,18365.67704,500
2,300,5.16,0.396,3.50E-05,4.24,0.055,18450,500
2,300,5.16,0.396,3.50E-05,4.24,0.065,18657.87272,500
2,300,5.16,0.396,3.50E-05,4.24,0.075,18400,500
3,300,5.16,0.396,5.00E-05,4.26,0.009,-999.4516738,500
3,300,5.16,0.396,5.00E-05,4.26,0.013,-1060,500
3,300,5.16,0.396,5.00E-05,4.26,0.017,-100,500
3,300,5.16,0.396,5.00E-05,4.26,0.019,1816.090265,500
3,300,5.16,0.396,5.00E-05,4.26,0.021,4986.065731,500
3,300,5.16,0.396,5.00E-05,4.26,0.022,7473.544674,500
3,300,5.16,0.396,5.00E-05,4.26,0.023,10161.304,500
3,300,5.16,0.396,5.00E-05,4.26,0.024,10924.43839,500
3,300,5.16,0.396,5.00E-05,4.26,0.025,12689.90741,500
3,300,5.16,0.396,5.00E-05,4.26,0.026,13251.99828,500
3,300,5.16,0.396,5.00E-05,4.26,0.027,14014.96309,500
3,300,5.16,0.396,5.00E-05,4.26,0.028,14777.92789,500
3,300,5.16,0.396,5.00E-05,4.26,0.029,15340.01877,500
3,300,5.16,0.396,5.00E-05,4.26,0.031,16184.0454,500
3,300,5.16,0.396,5.00E-05,4.26,0.035,17269.98564,500
3,300,5.16,0.396,5.00E-05,4.26,0.039,17794.42855,500
3,300,5.16,0.396,5.00E-05,4.26,0.043,18158.86762,500
3,300,5.16,0.396,5.00E-05,4.26,0.047,18242.30365,500
3,300,5.16,0.396,5.00E-05,4.26,0.051,18365.67704,500
3,300,5.16,0.396,5.00E-05,4.26,0.055,18369.06875,500
3,300,5.16,0.396,5.00E-05,4.26,0.065,18657.87272,500
3,300,5.16,0.396,5.00E-05,4.26,0.075,18745.97235,500
