Anode voltage (V),Anode flow rate (mg/s),Background pressure (torr),Axial position from anode (m),Avg peak axial ion velocity (m/s),Absolute accuracy (m/s)
300,5.16,1.70E-05,0.009,-1024.350689,500
300,5.16,1.70E-05,0.013,-1090.871409,500
300,5.16,1.70E-05,0.017,-1066.907048,500
300,5.16,1.70E-05,0.019,-827.9877985,500
300,5.16,1.70E-05,0.021,-105.0729595,500
300,5.16,1.70E-05,0.022,1828.857035,500
300,5.16,1.70E-05,0.023,2643.947138,500
300,5.16,1.70E-05,0.024,5697.079205,500
300,5.16,1.70E-05,0.025,6542.049305,500
300,5.16,1.70E-05,0.026,9565.059921,500
300,5.16,1.70E-05,0.027,9865.791528,500
300,5.16,1.70E-05,0.028,11225.12012,500
300,5.16,1.70E-05,0.029,12282.26838,500
300,5.16,1.70E-05,0.031,13156.27339,500
300,5.16,1.70E-05,0.035,14601.62016,500
300,5.16,1.70E-05,0.039,16107.81347,500
300,5.16,1.70E-05,0.043,17129.89046,500
300,5.16,1.70E-05,0.047,17547.36533,500
300,5.16,1.70E-05,0.051,17753.02422,500
300,5.16,1.70E-05,0.055,17988.92529,500
300,5.16,1.70E-05,0.065,17973.59292,500
300,5.16,1.70E-05,0.075,18019.1071,500
300,5.16,3.50E-05,0.009,-1024,500
300,5.16,3.50E-05,0.013,-900,500
300,5.16,3.50E-05,0.017,900,500
300,5.16,3.50E-05,0.019,2800,500
300,5.16,3.50E-05,0.021,7300,500
300,5.16,3.50E-05,0.022,9000,500
300,5.16,3.50E-05,0.023,10800,500
300,5.16,3.50E-05,0.024,11800,500
300,5.16,3.50E-05,0.025,12689.90741,500
300,5.16,3.50E-05,0.026,13400,500
300,5.16,3.50E-05,0.027,14200,500
300,5.16,3.50E-05,0.028,14850,500
300,5.16,3.50E-05,0.029,15600,500
300,5.16,3.50E-05,0.031,16200,500
300,5.16,3.50E-05,0.035,17269.98564,500
300,5.16,3.50E-05,0.039,17794.42855,500
300,5.16,3.50E-05,0.043,18158.86762,500
300,5.16,3.50E-05,0.047,18242.30365,500
300,5.16,3.50E-05,0.051,18365.67704,500
300,5.16,3.50E-05,0.055,18450,500
300,5.16,3.50E-05,0.065,18657.87272,500
300,5.16,3.50E-05,0.075,18400,500
300,5.16,5.00E-05,0.009,-999.4516738,500
300,5.16,5.00E-05,0.013,-1060,500
300,5.16,5.00E-05,0.017,-100,500
300,5.16,5.00E-05,0.019,1816.090265,500
300,5.16,5.00E-05,0.021,4986.065731,500
300,5.16,5.00E-05,0.022,7473.544674,500
300,5.16,5.00E-05,0.023,10161.304,500
300,5.16,5.00E-05,0.024,10924.43839,500
300,5.16,5.00E-05,0.025,12689.90741,500
300,5.16,5.00E-05,0.026,13251.99828,500
300,5.16,5.00E-05,0.027,14014.96309,500
300,5.16,5.00E-05,0.028,14777.92789,500
300,5.16,5.00E-05,0.029,15340.01877,500
300,5.16,5.00E-05,0.031,16184.0454,500
300,5.16,5.00E-05,0.035,17269.98564,500
300,5.16,5.00E-05,0.039,17794.42855,500
300,5.16,5.00E-05,0.043,18158.86762,500
300,5.16,5.00E-05,0.047,18242.30365,500
300,5.16,5.00E-05,0.051,18365.67704,500
300,5.16,5.00E-05,0.055,18369.06875,500
300,5.16,5.00E-05,0.065,18657.87272,500
300,5.16,5.00E-05,0.075,18745.97235,500
